mtp,input_len,concurrency,duration_s,output_throughput_tps,tpot_implied_decode_tps,mean_tpot_ms,p99_tpot_ms,mean_ttft_ms,p99_ttft_ms,mtp_acceptance_rate,mtp_acceptance_length
on,8192,1,26.861619063342612,19.148353987744137,23.644886668239792,42.29616611802298,42.29616611802298,5248.149094482263,5248.149094482263,96.43765903307889,3.8931297709923665
on,8192,4,40.38886055847009,50.711329063956335,73.21473635794761,54.63634198501133,66.51872043562864,11493.736680441847,17658.47417332853,92.47500103407071,3.759083808607618
on,8192,8,63.16776341199875,64.92597688163715,107.23952682799995,74.60046619306264,100.03439225136154,20370.179430193577,35510.50898261989,91.32373062238102,3.731092359041084
pruned,8192,1,46.342414078613125,11.055157660407213,12.276392488998196,81.45727923131423,81.45727923131423,4717.628076051672,4717.628076051672,16.35651322233105,1.4883040935672516
pruned,8192,4,82.93612311904629,24.696252301319223,34.83468581590181,114.93933117788697,150.94947370237003,10270.77201086407,15623.680531444648,8.693952342961644,1.2597924489514456
pruned,8192,8,101.83238788321614,40.22728974315114,76.1530166075002,105.0687477128387,184.22155138853614,18191.1320995229,31448.960665209837,25.296468550196916,1.7563129519986607
