run,completed,failed,duration_s,output_throughput_tps,tpot_implied_decode_tps,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,mean_ttft_ms,p99_ttft_ms,mtp_acceptance_rate,mtp_acceptance_length
1,8,0,100.3866732865572,40.802228681369165,74.78573450471978,106.97227289377112,185.04805645761454,184.5937756787704,938.9888910204173,18213.899995200336,31489.509118925776,24.37952063537087,1.7290076335877864
2,8,0,102.24262692593038,40.06156847835439,76.8656924028291,104.07764179205591,183.79206931338794,183.94699608733967,941.1098144948483,18176.042671315372,31419.345758985728,25.776938716235843,1.7707338254450717
3,8,0,102.86786343716085,39.81807206972986,76.80762291495174,104.15632845268907,183.82452839460595,183.9270293181581,935.5124165862799,18183.453632052988,31438.02711771801,25.732946298984032,1.7691973969631236
