run,completed,failed,duration_s,output_throughput_tps,tpot_implied_decode_tps,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,mean_ttft_ms,p99_ttft_ms,mtp_acceptance_rate,mtp_acceptance_length
1,4,0,83.5669918525964,24.5072839717919,34.00602128799151,117.62622760612439,151.68082909738743,144.7489531077153,751.6524776816368,10514.664854388684,15905.245936773717,7.743631217145168,1.2314199395770393
2,4,0,81.74952115677297,25.052134508194886,36.382898101493666,109.94176409041432,150.02735015096,144.6080874900982,749.9861464090645,10144.606791436672,15485.496697891502,10.594594594594595,1.3165374677002584
3,4,0,83.4918563477695,24.529338423970888,34.11513805822024,117.25000183712218,151.14024185876266,144.28597625091555,746.7588432133205,10153.044386766851,15480.298959668724,7.743631217145168,1.2314199395770393
