run,completed,failed,duration_s,output_throughput_tps,tpot_implied_decode_tps,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,mean_ttft_ms,p99_ttft_ms,mtp_acceptance_rate,mtp_acceptance_length
1,4,0,40.8927946947515,50.082172551118305,73.69867437516997,54.275060357770165,64.16274191636715,205.4411617383637,1195.9802065603487,12025.43865237385,18222.508806847036,93.06071871127634,3.7814814814814817
2,4,0,40.26665865443647,50.860937272587854,72.53050307107219,55.149210754548676,67.44758052208303,203.10808821237302,1056.6626363992887,11225.694734137505,17373.297815173864,91.12607099143207,3.707272727272727
3,4,0,40.0071283262223,51.19087736816285,73.41503162760067,54.484754842715134,67.94583886843574,205.85368240386413,1134.5602657646064,11230.076654814184,17379.615897964686,93.23821339950372,3.7884972170686457
