run,completed,failed,duration_s,output_throughput_tps,tpot_implied_decode_tps,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,mean_ttft_ms,p99_ttft_ms,mtp_acceptance_rate,mtp_acceptance_length
1,1,0,48.00078500062227,10.66649222493679,12.289506049166393,81.37023538613505,81.37023538613505,120.87264802675088,127.77682522311807,6420.471308752894,6420.471308752894,16.35651322233105,1.4883040935672516
2,1,0,45.46284622326493,11.261943378678998,12.284561051559217,81.40298996463329,81.40298996463329,120.92130260303789,122.45346799492836,3865.803776308894,3865.803776308894,16.35651322233105,1.4883040935672516
3,1,0,45.56361101195216,11.237037377605851,12.255110366268978,81.59861234317437,81.59861234317437,121.21189291437351,126.74930034205317,3866.6091430932283,3866.6091430932283,16.35651322233105,1.4883040935672516
